"","X","location","country","ipc","technology_domain","year","value"
"126",126,"ARG","Argentina","TOTAL","Total Patents",2004,108.4444
"127",127,"ARG","Argentina","TOTAL","Total Patents",2005,95.9444
"128",128,"ARG","Argentina","TOTAL","Total Patents",2006,106.9786
"129",129,"ARG","Argentina","TOTAL","Total Patents",2007,126.1337
"130",130,"ARG","Argentina","TOTAL","Total Patents",2008,132.5603
"131",131,"ARG","Argentina","TOTAL","Total Patents",2009,111.2189
"132",132,"ARG","Argentina","TOTAL","Total Patents",2010,106.765
"133",133,"ARG","Argentina","TOTAL","Total Patents",2011,125.8853
"134",134,"ARG","Argentina","TOTAL","Total Patents",2012,94.7905
"135",135,"ARG","Argentina","TOTAL","Total Patents",2013,114.854
"136",136,"ARG","Argentina","TOTAL","Total Patents",2014,80.194
"137",137,"ARG","Argentina","TOTAL","Total Patents",2015,121.0317
"138",138,"ARG","Argentina","TOTAL","Total Patents",2016,125.7575
"139",139,"ARG","Argentina","TOTAL","Total Patents",2017,137.4555
"140",140,"ARG","Argentina","TOTAL","Total Patents",2018,97.0647
"141",141,"ARM","Armenia","TOTAL","Total Patents",1999,0
"142",142,"ARM","Armenia","TOTAL","Total Patents",2000,0.5
"143",143,"ARM","Armenia","TOTAL","Total Patents",2001,2.5
"144",144,"ARM","Armenia","TOTAL","Total Patents",2002,1
"145",145,"ARM","Armenia","TOTAL","Total Patents",2003,0.8095
"146",146,"ARM","Armenia","TOTAL","Total Patents",2004,1.6167
"147",147,"ARM","Armenia","TOTAL","Total Patents",2005,2.65
"148",148,"ARM","Armenia","TOTAL","Total Patents",2006,9.8333
"149",149,"ARM","Armenia","TOTAL","Total Patents",2007,3.0833
"150",150,"ARM","Armenia","TOTAL","Total Patents",2008,4.381
"151",151,"ARM","Armenia","TOTAL","Total Patents",2009,3.75
"152",152,"ARM","Armenia","TOTAL","Total Patents",2010,8.75
"153",153,"ARM","Armenia","TOTAL","Total Patents",2011,10.1
"154",154,"ARM","Armenia","TOTAL","Total Patents",2012,13.2738
"155",155,"ARM","Armenia","TOTAL","Total Patents",2013,11.7333
"156",156,"ARM","Armenia","TOTAL","Total Patents",2014,10.2364
"157",157,"ARM","Armenia","TOTAL","Total Patents",2015,16.0786
"158",158,"ARM","Armenia","TOTAL","Total Patents",2016,27.1167
"159",159,"ARM","Armenia","TOTAL","Total Patents",2017,29.8929
"160",160,"ARM","Armenia","TOTAL","Total Patents",2018,8.625
"161",161,"BLR","Belarus","TOTAL","Total Patents",1999,0.6
"162",162,"BLR","Belarus","TOTAL","Total Patents",2000,0
"163",163,"BLR","Belarus","TOTAL","Total Patents",2001,10.6833
"164",164,"BLR","Belarus","TOTAL","Total Patents",2002,5.4333
"165",165,"BLR","Belarus","TOTAL","Total Patents",2003,4
"166",166,"BLR","Belarus","TOTAL","Total Patents",2004,14.8976
"167",167,"BLR","Belarus","TOTAL","Total Patents",2005,10.4167
"168",168,"BLR","Belarus","TOTAL","Total Patents",2006,12.7667
"169",169,"BLR","Belarus","TOTAL","Total Patents",2007,14.9667
"170",170,"BLR","Belarus","TOTAL","Total Patents",2008,4.2667
"171",171,"BLR","Belarus","TOTAL","Total Patents",2009,10.45
"172",172,"BLR","Belarus","TOTAL","Total Patents",2010,11.9095
"173",173,"BLR","Belarus","TOTAL","Total Patents",2011,10.6167
"174",174,"BLR","Belarus","TOTAL","Total Patents",2012,11.1083
"175",175,"BLR","Belarus","TOTAL","Total Patents",2013,13.0429
"176",176,"BLR","Belarus","TOTAL","Total Patents",2014,18.65
"177",177,"BLR","Belarus","TOTAL","Total Patents",2015,18.6881
"178",178,"BLR","Belarus","TOTAL","Total Patents",2016,16.2452
"179",179,"BLR","Belarus","TOTAL","Total Patents",2017,20.1131
"180",180,"BLR","Belarus","TOTAL","Total Patents",2018,14.05
"181",181,"BMU","Bermuda","TOTAL","Total Patents",1999,1
"182",182,"BMU","Bermuda","TOTAL","Total Patents",2000,0
"183",183,"BMU","Bermuda","TOTAL","Total Patents",2001,7
"184",184,"BMU","Bermuda","TOTAL","Total Patents",2002,4
"185",185,"BMU","Bermuda","TOTAL","Total Patents",2003,2.6667
"186",186,"BMU","Bermuda","TOTAL","Total Patents",2004,3.3667
"187",187,"BMU","Bermuda","TOTAL","Total Patents",2005,7.8667
"188",188,"BMU","Bermuda","TOTAL","Total Patents",2006,2.3333
"189",189,"BMU","Bermuda","TOTAL","Total Patents",2007,1.8333
"190",190,"BMU","Bermuda","TOTAL","Total Patents",2008,3.5833
"191",191,"BMU","Bermuda","TOTAL","Total Patents",2009,1.3167
"192",192,"BMU","Bermuda","TOTAL","Total Patents",2010,2
"193",193,"BMU","Bermuda","TOTAL","Total Patents",2011,10.5333
"194",194,"BMU","Bermuda","TOTAL","Total Patents",2012,1
"195",195,"BMU","Bermuda","TOTAL","Total Patents",2013,3
"196",196,"BMU","Bermuda","TOTAL","Total Patents",2014,1.4576
"197",197,"BMU","Bermuda","TOTAL","Total Patents",2015,5.3333
"198",198,"BMU","Bermuda","TOTAL","Total Patents",2016,2.3095
"199",199,"BMU","Bermuda","TOTAL","Total Patents",2017,4.4
"200",200,"BMU","Bermuda","TOTAL","Total Patents",2018,2
"201",201,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",1999,0
"202",202,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2000,0
"203",203,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2001,0.8333
"204",204,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2002,0
"205",205,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2003,0
"206",206,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2004,0.75
"207",207,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2005,2.25
"208",208,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2006,1.2
"209",209,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2007,0.1429
"210",210,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2008,2.25
"211",211,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2009,0.9762
"212",212,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2010,3.1429
"213",213,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2011,2.6429
"214",214,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2012,2.3929
"215",215,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2013,3.5429
"216",216,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2014,2.3333
"217",217,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2015,1.4167
"218",218,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2016,0.9762
"219",219,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2017,3.4619
"220",220,"BIH","Bosnia and Herzegovina","TOTAL","Total Patents",2018,0.125
"221",221,"BRA","Brazil","TOTAL","Total Patents",1999,7.8333
"222",222,"BRA","Brazil","TOTAL","Total Patents",2000,17.6667
"223",223,"BRA","Brazil","TOTAL","Total Patents",2001,139.3163
"224",224,"BRA","Brazil","TOTAL","Total Patents",2002,189.1045
"225",225,"BRA","Brazil","TOTAL","Total Patents",2003,254.9057
"226",226,"BRA","Brazil","TOTAL","Total Patents",2004,356.5021
"227",227,"BRA","Brazil","TOTAL","Total Patents",2005,370.7155
"228",228,"BRA","Brazil","TOTAL","Total Patents",2006,331.8537
"229",229,"BRA","Brazil","TOTAL","Total Patents",2007,391.5251
"230",230,"BRA","Brazil","TOTAL","Total Patents",2008,436.5861
"231",231,"BRA","Brazil","TOTAL","Total Patents",2009,430.3344
"232",232,"BRA","Brazil","TOTAL","Total Patents",2010,440.664
"233",233,"BRA","Brazil","TOTAL","Total Patents",2011,478.3357
"234",234,"BRA","Brazil","TOTAL","Total Patents",2012,509.1525
"235",235,"BRA","Brazil","TOTAL","Total Patents",2013,559.168
"236",236,"BRA","Brazil","TOTAL","Total Patents",2014,596.729
"237",237,"BRA","Brazil","TOTAL","Total Patents",2015,595.2605
"238",238,"BRA","Brazil","TOTAL","Total Patents",2016,608.8724
"239",239,"BRA","Brazil","TOTAL","Total Patents",2017,542.2619
"240",240,"BRA","Brazil","TOTAL","Total Patents",2018,332.5658
"241",241,"BGR","Bulgaria","TOTAL","Total Patents",1999,0
"242",242,"BGR","Bulgaria","TOTAL","Total Patents",2000,0
"243",243,"BGR","Bulgaria","TOTAL","Total Patents",2001,2.8548
"244",244,"BGR","Bulgaria","TOTAL","Total Patents",2002,5.7778
"245",245,"BGR","Bulgaria","TOTAL","Total Patents",2003,12.7167
"246",246,"BGR","Bulgaria","TOTAL","Total Patents",2004,86.9167
"247",247,"BGR","Bulgaria","TOTAL","Total Patents",2005,73.3996
"248",248,"BGR","Bulgaria","TOTAL","Total Patents",2006,51.3131
"249",249,"BGR","Bulgaria","TOTAL","Total Patents",2007,34.0798
"250",250,"BGR","Bulgaria","TOTAL","Total Patents",2008,37.9583
"251",251,"BGR","Bulgaria","TOTAL","Total Patents",2009,31.4027
"252",252,"BGR","Bulgaria","TOTAL","Total Patents",2010,30.6238
"253",253,"BGR","Bulgaria","TOTAL","Total Patents",2011,29.8857
"254",254,"BGR","Bulgaria","TOTAL","Total Patents",2012,65.0833
"255",255,"BGR","Bulgaria","TOTAL","Total Patents",2013,72.7917
"256",256,"BGR","Bulgaria","TOTAL","Total Patents",2014,57.7833
"257",257,"BGR","Bulgaria","TOTAL","Total Patents",2015,54.0631
"258",258,"BGR","Bulgaria","TOTAL","Total Patents",2016,75.5318
"259",259,"BGR","Bulgaria","TOTAL","Total Patents",2017,55.65
"260",260,"BGR","Bulgaria","TOTAL","Total Patents",2018,49.3373
"261",261,"ARE","United Arab Emirates","TOTAL","Total Patents",1999,0.25
"262",262,"ARE","United Arab Emirates","TOTAL","Total Patents",2000,0
"263",263,"ARE","United Arab Emirates","TOTAL","Total Patents",2001,3.3333
"264",264,"ARE","United Arab Emirates","TOTAL","Total Patents",2002,3.3667
"265",265,"ARE","United Arab Emirates","TOTAL","Total Patents",2003,8.9083
"266",266,"ARE","United Arab Emirates","TOTAL","Total Patents",2004,24.7024
"267",267,"ARE","United Arab Emirates","TOTAL","Total Patents",2005,15.45
"268",268,"ARE","United Arab Emirates","TOTAL","Total Patents",2006,20.6115
"269",269,"ARE","United Arab Emirates","TOTAL","Total Patents",2007,20.0738
"270",270,"ARE","United Arab Emirates","TOTAL","Total Patents",2008,30.8326
"271",271,"ARE","United Arab Emirates","TOTAL","Total Patents",2009,33.4417
"272",272,"ARE","United Arab Emirates","TOTAL","Total Patents",2010,33.8012
"273",273,"ARE","United Arab Emirates","TOTAL","Total Patents",2011,53.4218
"274",274,"ARE","United Arab Emirates","TOTAL","Total Patents",2012,68.4805
"275",275,"ARE","United Arab Emirates","TOTAL","Total Patents",2013,92.559
"276",276,"ARE","United Arab Emirates","TOTAL","Total Patents",2014,97.3853
"277",277,"ARE","United Arab Emirates","TOTAL","Total Patents",2015,112.7429
"278",278,"ARE","United Arab Emirates","TOTAL","Total Patents",2016,120.4254
"279",279,"ARE","United Arab Emirates","TOTAL","Total Patents",2017,124.6715
"280",280,"ARE","United Arab Emirates","TOTAL","Total Patents",2018,88.0012
"281",281,"CZE","Czech Republic","TOTAL","Total Patents",1999,3.0833
"282",282,"CZE","Czech Republic","TOTAL","Total Patents",2000,2.7262
"283",283,"CZE","Czech Republic","TOTAL","Total Patents",2001,47.0992
"284",284,"CZE","Czech Republic","TOTAL","Total Patents",2002,46.2824
"285",285,"CZE","Czech Republic","TOTAL","Total Patents",2003,68.5083
"286",286,"CZE","Czech Republic","TOTAL","Total Patents",2004,110.3495
"287",287,"CZE","Czech Republic","TOTAL","Total Patents",2005,121.9761
"288",288,"CZE","Czech Republic","TOTAL","Total Patents",2006,119.3361
"289",289,"CZE","Czech Republic","TOTAL","Total Patents",2007,134.9571
"290",290,"CZE","Czech Republic","TOTAL","Total Patents",2008,213.5048
"291",291,"CZE","Czech Republic","TOTAL","Total Patents",2009,215.0292
"292",292,"CZE","Czech Republic","TOTAL","Total Patents",2010,230.8623
"293",293,"CZE","Czech Republic","TOTAL","Total Patents",2011,190.7119
"294",294,"CZE","Czech Republic","TOTAL","Total Patents",2012,303.2667
"295",295,"CZE","Czech Republic","TOTAL","Total Patents",2013,280.69
"296",296,"CZE","Czech Republic","TOTAL","Total Patents",2014,348.1928
"297",297,"CZE","Czech Republic","TOTAL","Total Patents",2015,353.561
"298",298,"CZE","Czech Republic","TOTAL","Total Patents",2016,355.9338
"299",299,"CZE","Czech Republic","TOTAL","Total Patents",2017,344.2262
"300",300,"CZE","Czech Republic","TOTAL","Total Patents",2018,274.1099
"301",301,"DNK","Denmark","TOTAL","Total Patents",1999,40.4155
"302",302,"DNK","Denmark","TOTAL","Total Patents",2000,70.7405
"303",303,"DNK","Denmark","TOTAL","Total Patents",2001,673.298
"304",304,"DNK","Denmark","TOTAL","Total Patents",2002,711.7994
"305",305,"DNK","Denmark","TOTAL","Total Patents",2003,928.1875
"306",306,"DNK","Denmark","TOTAL","Total Patents",2004,1141.2805
"307",307,"DNK","Denmark","TOTAL","Total Patents",2005,1414.0049
"308",308,"DNK","Denmark","TOTAL","Total Patents",2006,1245.5828
"309",309,"DNK","Denmark","TOTAL","Total Patents",2007,1111.1827
"310",310,"DNK","Denmark","TOTAL","Total Patents",2008,1287.2997
"311",311,"DNK","Denmark","TOTAL","Total Patents",2009,1344.5701
"312",312,"DNK","Denmark","TOTAL","Total Patents",2010,1195.1409
"313",313,"DNK","Denmark","TOTAL","Total Patents",2011,1319.232
"314",314,"DNK","Denmark","TOTAL","Total Patents",2012,1483.4482
"315",315,"DNK","Denmark","TOTAL","Total Patents",2013,1436.5431
"316",316,"DNK","Denmark","TOTAL","Total Patents",2014,1490.9821
"317",317,"DNK","Denmark","TOTAL","Total Patents",2015,1491.8092
"318",318,"DNK","Denmark","TOTAL","Total Patents",2016,1391.7626
"319",319,"DNK","Denmark","TOTAL","Total Patents",2017,1286.8457
"320",320,"DNK","Denmark","TOTAL","Total Patents",2018,760.1495
"321",321,"DEU","Germany","TOTAL","Total Patents",1999,640.0609
"322",322,"DEU","Germany","TOTAL","Total Patents",2000,1261.8339
"323",323,"DEU","Germany","TOTAL","Total Patents",2001,11337.5201
"324",324,"DEU","Germany","TOTAL","Total Patents",2002,14747.0235
"325",325,"DEU","Germany","TOTAL","Total Patents",2003,17559.7041
"326",326,"DEU","Germany","TOTAL","Total Patents",2004,23132.4948
"327",327,"DEU","Germany","TOTAL","Total Patents",2005,25372.8816
"328",328,"DEU","Germany","TOTAL","Total Patents",2006,20679.5058
"329",329,"DEU","Germany","TOTAL","Total Patents",2007,19888.8098
"330",330,"DEU","Germany","TOTAL","Total Patents",2008,19759.3816
"331",331,"DEU","Germany","TOTAL","Total Patents",2009,17923.9672
"332",332,"DEU","Germany","TOTAL","Total Patents",2010,18799.4518
"333",333,"DEU","Germany","TOTAL","Total Patents",2011,19653.2475
"334",334,"DEU","Germany","TOTAL","Total Patents",2012,20107.9232
"335",335,"DEU","Germany","TOTAL","Total Patents",2013,20324.415
"336",336,"DEU","Germany","TOTAL","Total Patents",2014,19940.1627
"337",337,"DEU","Germany","TOTAL","Total Patents",2015,20153.3535
"338",338,"DEU","Germany","TOTAL","Total Patents",2016,20255.1812
"339",339,"DEU","Germany","TOTAL","Total Patents",2017,18955.0307
"340",340,"DEU","Germany","TOTAL","Total Patents",2018,12505.6452
"341",341,"DZA","Algeria","TOTAL","Total Patents",1999,0
"342",342,"DZA","Algeria","TOTAL","Total Patents",2000,0
"343",343,"DZA","Algeria","TOTAL","Total Patents",2001,0.75
"344",344,"DZA","Algeria","TOTAL","Total Patents",2002,0.8333
"345",345,"DZA","Algeria","TOTAL","Total Patents",2003,0
"346",346,"DZA","Algeria","TOTAL","Total Patents",2004,0.5
"347",347,"DZA","Algeria","TOTAL","Total Patents",2005,2.25
"348",348,"DZA","Algeria","TOTAL","Total Patents",2006,0.3429
"349",349,"DZA","Algeria","TOTAL","Total Patents",2007,0.5
"350",350,"DZA","Algeria","TOTAL","Total Patents",2008,0.3333
"351",351,"DZA","Algeria","TOTAL","Total Patents",2009,0.9583
"352",352,"DZA","Algeria","TOTAL","Total Patents",2010,0.5
"353",353,"DZA","Algeria","TOTAL","Total Patents",2011,1.8667
"354",354,"DZA","Algeria","TOTAL","Total Patents",2012,2.119
"355",355,"DZA","Algeria","TOTAL","Total Patents",2013,2.4444
"356",356,"DZA","Algeria","TOTAL","Total Patents",2014,0.3333
"357",357,"DZA","Algeria","TOTAL","Total Patents",2015,3.2611
"358",358,"DZA","Algeria","TOTAL","Total Patents",2016,1.4444
"359",359,"DZA","Algeria","TOTAL","Total Patents",2017,0.6667
"360",360,"CYM","Cayman Islands","TOTAL","Total Patents",1999,0
"361",361,"CYM","Cayman Islands","TOTAL","Total Patents",2000,0
"362",362,"CYM","Cayman Islands","TOTAL","Total Patents",2001,1
"363",363,"CYM","Cayman Islands","TOTAL","Total Patents",2002,2.1667
"364",364,"CYM","Cayman Islands","TOTAL","Total Patents",2003,0.5
"365",365,"CYM","Cayman Islands","TOTAL","Total Patents",2004,1
"366",366,"CYM","Cayman Islands","TOTAL","Total Patents",2005,0.7
"367",367,"CYM","Cayman Islands","TOTAL","Total Patents",2006,3
"368",368,"CYM","Cayman Islands","TOTAL","Total Patents",2007,2.5333
"369",369,"CYM","Cayman Islands","TOTAL","Total Patents",2008,3.3333
"370",370,"CYM","Cayman Islands","TOTAL","Total Patents",2009,9.7
"371",371,"CYM","Cayman Islands","TOTAL","Total Patents",2010,16.9167
"372",372,"CYM","Cayman Islands","TOTAL","Total Patents",2011,8.5417
"373",373,"CYM","Cayman Islands","TOTAL","Total Patents",2012,5.8
"374",374,"CYM","Cayman Islands","TOTAL","Total Patents",2013,18.1167
"375",375,"CYM","Cayman Islands","TOTAL","Total Patents",2014,16.1667
"376",376,"CYM","Cayman Islands","TOTAL","Total Patents",2015,16.5833
"377",377,"CYM","Cayman Islands","TOTAL","Total Patents",2016,13.2
"378",378,"CYM","Cayman Islands","TOTAL","Total Patents",2017,11.5833
"379",379,"CYM","Cayman Islands","TOTAL","Total Patents",2018,4.7083
"380",380,"CHL","Chile","TOTAL","Total Patents",1999,0
"381",381,"CHL","Chile","TOTAL","Total Patents",2000,0.6667
"382",382,"CHL","Chile","TOTAL","Total Patents",2001,19.1611
"383",383,"CHL","Chile","TOTAL","Total Patents",2002,32.6833
"384",384,"CHL","Chile","TOTAL","Total Patents",2003,32.0333
"385",385,"CHL","Chile","TOTAL","Total Patents",2004,48.344
"386",386,"CHL","Chile","TOTAL","Total Patents",2005,48.0833
"387",387,"CHL","Chile","TOTAL","Total Patents",2006,71.0619
"388",388,"CHL","Chile","TOTAL","Total Patents",2007,57.825
"389",389,"CHL","Chile","TOTAL","Total Patents",2008,77.2667
"390",390,"CHL","Chile","TOTAL","Total Patents",2009,69.204
"391",391,"CHL","Chile","TOTAL","Total Patents",2010,83.7625
